word,type,cefr,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
abolish,verb,c1,/əˈbɒlɪʃ/,/əˈbɑːlɪʃ/,"to officially end a law, a system or an institution",This tax should be abolished.,"Bãi bỏ, Xóa bỏ, Hủy bỏ","eradicate, revoke, abrogate","institute, establish, enact"
abortion,noun,c1,/əˈbɔːʃn/,/əˈbɔːrʃn/,the deliberate ending of a pregnancy at an early stage,to support/oppose abortion,"Phá thai, Sự phá thai, Nạo thai","termination, feticide, interruption","childbirth, parturition, procreation"
absence,noun,c1,/ˈæbsəns/,/ˈæbsəns/,the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away,"in somebody's absence, The decision was made in my absence (= while I was not there).","Sự vắng mặt, Vắng mặt, Sự thiếu vắng","non-attendance, withdrawal, desertion","presence, attendance, ubiquity"
absent,adjective,c1,/ˈæbsənt/,/ˈæbsənt/,"not in a place because of illness, etc.",He was absent from work for two weeks.,"Vắng mặt, Nghỉ học/làm, Vắng","unavailable, non-attending, AWOL","available, in attendance, on hand"
absurd,adjective,c1,/əbˈsɜːd/,/əbˈsɜːrd/,extremely silly; not logical and sensible,That uniform makes the guards look absurd.,"Vô lý, Phi lý, Nực cười","ludicrous, preposterous, farcical","rational, coherent, judicious"
abundance,noun,c1,/əˈbʌndəns/,/əˈbʌndəns/,a large quantity that is more than enough,The brochure promised beautiful walks with an abundance of wildlife.,"Dồi dào, Phong phú, Thừa thãi","profusion, plethora, cornucopia","scarcity, dearth, paucity"
abuse,noun,c1,/əˈbjuːs/,/əˈbjuːs/,the use of something in a way that is wrong or harmful,alcohol/drug abuse,"Lạm dụng, Ngược đãi, Bóc lột","misuse, exploitation, maltreatment","stewardship, safeguarding, veneration"
abuse,verb,c1,/əˈbjuːz/,/əˈbjuːz/,"to make bad use of something, or to use so much of something that it harms your health",to abuse alcohol/drugs,"Lạm dụng, Sử dụng sai mục đích, Sử dụng quá mức","misuse, exploit, degrade","cherish, preserve, safeguard"
academy,noun,c1,/əˈkædəmi/,/əˈkædəmi/,a school or college for special training,She trained at the Royal Academy of Music.,"Học viện, Trường chuyên ngành, Viện đào tạo chuyên ngành","institute, university, institution","ignorance, illiteracy, unenlightenment"
accelerate,verb,c1,/əkˈseləreɪt/,/əkˈseləreɪt/,to happen faster or earlier; to make something happen faster or earlier,Inflation continues to accelerate.,"Tăng tốc, Thúc đẩy, Đẩy nhanh","expedite, hasten, precipitate","decelerate, retard, impede"
acceptance,noun,c1,/əkˈseptəns/,/əkˈseptəns/,"the act of accepting a gift, an invitation, an offer, etc.",Please confirm your acceptance of this offer in writing.,"Chấp nhận, Đón nhận, Chấp thuận","acquiescence, assent, endorsement","repudiation, veto, dissent"
accessible,adjective,c1,/əkˈsesəbl/,/əkˈsesəbl/,"that can be reached, entered, used, seen, etc.",The remote desert area is accessible only by helicopter.,"Dễ tiếp cận, Có thể tiếp cận, Có thể truy cập","attainable, approachable, feasible","inaccessible, unattainable, impenetrable"
accomplishment,noun,c1,/əˈkʌmplɪʃmənt/,/əˈkɑːmplɪʃmənt/,an impressive thing that is done or achieved after a lot of work,It was one of the President's greatest accomplishments.,"Thành tựu, Thành quả, Thành tích","feat, triumph, masterpiece","setback, fiasco, debacle"
accordance,noun,c1,/əˈkɔːdns/,/əˈkɔːrdns/,according to a rule or the way that somebody says that something should be done,in accordance with legal requirements,"Theo, Tuân thủ, Phù hợp với","conformity, compliance, adherence","non-compliance, deviation, contravention"
accordingly,adverb,c1,/əˈkɔːdɪŋli/,/əˈkɔːrdɪŋli/,in a way that is appropriate to what has been done or said in a particular situation,We have to discover his plans and act accordingly.,"Do đó, Tương ứng, Cho phù hợp","consequently, correspondingly, hence","arbitrarily, inappropriately, irrationally"
accountability,noun,c1,/əˌkaʊntəˈbɪləti/,/əˌkaʊntəˈbɪləti/,the fact of being responsible for your decisions or actions and expected to explain them when you are asked,proposals for greater police accountability,"Trách nhiệm giải trình, Tính chịu trách nhiệm, Sự chịu trách nhiệm","responsibility, liability, answerability","irresponsibility, impunity, exemption"
accountable,adjective,c1,/əˈkaʊntəbl/,/əˈkaʊntəbl/,responsible for your decisions or actions and expected to explain them when you are asked,The state spends taxpayers’ money and should be held accountable.,"Chịu trách nhiệm, Có trách nhiệm giải trình, Có nghĩa vụ giải trình","responsible, liable, answerable","irresponsible, exempt, immune"
accumulate,verb,c1,/əˈkjuːmjəleɪt/,/əˈkjuːmjəleɪt/,to gradually get more and more of something over a period of time,I seem to have accumulated a lot of books.,"Tích lũy, Tích tụ, Tích trữ","amass, garner, hoard","disperse, dissipate, squander"
accumulation,noun,c1,/əˌkjuːmjəˈleɪʃn/,/əˌkjuːmjəˈleɪʃn/,the process of gradually increasing or getting more and more of something over a period of time,the accumulation of wealth,"Tích lũy, Tích trữ, Gom góp","accretion, conglomeration, amassing","depletion, diminution, dissipation"
accusation,noun,c1,/ˌækjuˈzeɪʃn/,/ˌækjuˈzeɪʃn/,a statement saying that you think a person is guilty of doing something wrong or illegal; the fact of accusing somebody,I don't want to make an accusation until I have some proof.,"Cáo buộc, Lời buộc tội, Lời tố cáo","allegation, imputation, indictment","exoneration, vindication, absolution"
accused,noun,c1,/ði əˈkjuːzd/,/ði əˈkjuːzd/,a person who is on trial for committing a crime,The accused was found innocent.,"Bị cáo, Nghi phạm, Người bị buộc tội","defendant, suspect, indicted individual","prosecutor, victim, acquitted person"
acid,adjective,c1,/ˈæsɪd/,/ˈæsɪd/,that contains acid or has the essential characteristics of an acid; that has a pH of less than seven,"Rye is tolerant of poor, acid soils.","Axit, Chất chua, Chất axit","corrosive, caustic, acrid","alkaline, basic, neutral"
acquisition,noun,c1,/ˌækwɪˈzɪʃn/,/ˌækwɪˈzɪʃn/,"the act of getting something, especially knowledge, a skill, etc.",theories of child language acquisition,"Sự tiếp thu, Sự thu nhận, Sự có được","procurement, attainment, obtainment","divestment, relinquishment, forfeiture"
acre,noun,c1,/ˈeɪkə(r)/,/ˈeɪkər/,a unit for measuring an area of land; 4 840 square yards or about 4 050 square metres,3 000 acres of parkland,"Mẫu Anh, ắc-cơ, ê-cơ","acreage, tract, expanse","speck, patch, confines"
activation,noun,c1,/ˌæktɪˈveɪʃn/,/ˌæktɪˈveɪʃn/,the act of making something such as a device or chemical process start working,The activation of several target genes results in two major effects.,"Kích hoạt, Khởi động, Hoạt hóa","initiation, commencement, triggering","deactivation, cessation, termination"
activist,noun,c1,/ˈæktɪvɪst/,/ˈæktɪvɪst/,"a person who works to achieve political or social change, especially as a member of an organization with particular aims",human/civil/animal rights activists,"Nhà hoạt động, Người đấu tranh, Người vận động","campaigner, advocate, proponent","conformist, traditionalist, reactionary"
acute,adjective,c1,/əˈkjuːt/,/əˈkjuːt/,very serious or severe,There is an acute shortage of water.,"Nghiêm trọng, Cấp tính, Khốc liệt","Severe, Critical, Dire","Mild, Negligible, Inconsequential"
adaptation,noun,c1,/ˌædæpˈteɪʃn/,/ˌædæpˈteɪʃn/,"the action or process of changing something, or of being changed, to suit a new purpose or situation",the adaptation of buildings for military purposes,"Sự thích nghi, Sự thích ứng, Sự điều chỉnh","Adjustment, Modification, Accommodation","Stagnation, Inflexibility, Rigidity"
adhere,verb,c1,/ədˈhɪə(r)/,/ədˈhɪr/,to stick to something,"Once in the bloodstream, the bacteria adhere to the surface of the red cells.","dính, bám, gắn","cling, conform, comply","detach, deviate, dissent"
adjacent,adjective,c1,/əˈdʒeɪsnt/,/əˈdʒeɪsnt/,next to something,The planes landed on adjacent runways.,"kề bên, liền kề, sát cạnh","contiguous, adjoining, proximate","distant, remote, separate"
adjustment,noun,c1,/əˈdʒʌstmənt/,/əˈdʒʌstmənt/,a small change made to something in order to correct or improve it,I've made a few adjustments to the design.,"Điều chỉnh, Chỉnh sửa, Sửa đổi","modification, rectification, refinement","deterioration, stagnation, permanence"
administer,verb,c1,/ədˈmɪnɪstə(r)/,/ədˈmɪnɪstər/,"to manage and organize the affairs of a company, an organization, a country, etc.",to administer a charity/fund/school,"Quản lý, Điều hành, Cai quản","govern, oversee, superintend","neglect, mismanage, abdicate"
administrative,adjective,c1,/ədˈmɪnɪstrətɪv/,/ədˈmɪnɪstreɪtɪv/,connected with organizing the work of a business or an institution,an administrative job/assistant/error,"Hành chính, Quản lý, Văn phòng","managerial, organizational, executive","operational, subordinate, manual"
administrator,noun,c1,/ədˈmɪnɪstreɪtə(r)/,/ədˈmɪnɪstreɪtər/,"a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc.",Such organizational decisions are made by the hospital administrators.,"Quản trị viên, Giám đốc hành chính, Nhân viên hành chính","executive, manager, director","subordinate, minion, pawn"
admission,noun,c1,/ədˈmɪʃn/,/ədˈmɪʃn/,"the act of accepting somebody into an institution, organization, etc.; the right to enter a place or to join an institution or organization",Hospital admission is not necessary in most cases.,"Sự nhập học, Sự gia nhập, Quyền vào cửa","enrollment, acceptance, access","exclusion, rejection, debarment"
adoption,noun,c1,/əˈdɒpʃn/,/əˈdɑːpʃn/,the act of adopting a child; the fact of being adopted,She put the baby up for adoption.,"nuôi con nuôi, sự nhận con nuôi, việc nhận nuôi","filiation, guardianship, parentage","abandonment, relinquishment, disownment"
adverse,adjective,c1,/ˈædvɜːs/,/ədˈvɜːrs/,negative and unpleasant; not likely to produce a good result,adverse change/circumstances/weather conditions,"Bất lợi, Tiêu cực, Có hại","detrimental, deleterious, pernicious","propitious, auspicious, conducive"
advocate,noun,c1,/ˈædvəkət/,/ˈædvəkət/,a person who supports or speaks in favour of somebody or of a public plan or action,"advocate for something/somebody, an advocate for hospital workers","Người ủng hộ, Người bênh vực, Người cổ súy","proponent, champion, exponent","detractor, antagonist, adversary"
